city,rooms_semi_integer,rooms,extra_space,floor,surface_m2,NIS,property_type,price_surface
Bat Yam,2,2,0,18,50,6000,apartment,120
Bat Yam,5.5,5,1,25,320,24000,penthouse,75
Bat Yam,8.5,8,1,4,450,15500,penthouse,34.44
Bat Yam,4,4,0,1,100,6000,apartment,60
Bat Yam,3,3,0,3,75,2800,apartment,37.33
Bat Yam,3,3,0,22,125,8000,apartment,64
Bat Yam,3,3,0,5,90,8500,apartment,94.44
Bat Yam,4,4,0,7,110,7500,apartment,68.18
Bat Yam,2,2,0,0,60,4300,garden apartment,71.67
Bat Yam,3,3,0,1,70,4600,apartment,65.71
Bat Yam,3,3,0,3,70,3800,apartment,54.29
Bat Yam,2,2,0,5,38,4000,apartment,105.26
Bat Yam,3,3,0,1,85,4700,apartment,55.29
Bat Yam,3,3,0,3,61,4500,apartment,73.77
Bat Yam,2.5,2,1,3,62,4000,apartment,64.52
Bat Yam,2.5,2,1,4,60,4200,apartment,70
Bat Yam,4,4,0,1,80,4700,apartment,58.75
Bat Yam,2,2,0,0,55,4400,apartment,80
Bat Yam,3,3,0,27,95,8200,apartment,86.32
Bat Yam,3,3,0,3,87,4500,apartment,51.72
Bat Yam,1,1,0,2,16,2700,housing unit,168.75
Bat Yam,4,4,0,2,80,4900,apartment,61.25
Bat Yam,3,3,0,1,80,4200,apartment,52.5
Bat Yam,3,3,0,2,60,3500,apartment,58.33
Bat Yam,3.5,3,1,3,75,4300,apartment,57.33
Bat Yam,1,1,0,11,20,3850,housing unit,192.5
Bat Yam,2,2,0,1,35,250,apartment,7.14
Bat Yam,1.5,1,1,0,51,4000,apartment,78.43
Bat Yam,1,1,0,2,30,2900,housing unit,96.67
Bat Yam,2.5,2,1,1,79,4500,apartment,56.96
Bat Yam,2,2,0,1,70,3700,apartment,52.86
Bat Yam,3,3,0,16,80,8500,apartment,106.25
Bat Yam,3,3,0,2,80,6300,apartment,78.75
Bat Yam,4,4,0,12,112,8000,other,71.43
Bat Yam,3,3,0,1,70,4500,apartment,64.29
Bat Yam,1,1,0,5,25,4200,other,168
Bat Yam,3,3,0,2,85,5500,apartment,64.71
Bat Yam,4,4,0,4,150,6700,penthouse,44.67
Bat Yam,3,3,0,3,75,4300,apartment,57.33
Bat Yam,3,3,0,15,80,9000,apartment,112.5
