year,week,temp_mean,temp_min,temp_max,cold_hours,hot_hours,activity_level,activity_level_label,season
2015,10,-2.5615678642694393,-18.831333332999975,10.316000000000031,165,0,1,Minimal,2014-15
2015,11,5.449476190476214,-5.132999999999981,12.613666667000018,140,0,2,Minimal,2014-15
2015,12,4.122630952380976,-3.97733333299999,15.479333333,140,0,2,Minimal,2014-15
2015,13,1.2157589285714492,-11.128999999999962,13.951000000000022,154,0,2,Minimal,2014-15
2015,14,7.56104761904764,-5.005999999999972,18.57650000000001,118,0,1,Minimal,2014-15
2015,15,12.611211309523831,1.25533333300001,18.829333333000022,40,0,1,Minimal,2014-15
2015,16,14.050857142857163,7.16166666700002,22.885333333000005,20,0,1,Minimal,2014-15
2015,17,7.932449404761929,-0.3873333329999582,19.047666667000044,115,0,1,Minimal,2014-15
2015,18,11.023540178571452,1.4320000000000164,23.025666666999996,80,0,1,Minimal,2014-15
2015,19,21.54804761904764,9.043666667000025,29.474333333000004,3,41,1,Minimal,2014-15
2015,20,18.77419940476193,3.8656666670000277,29.549666666999997,12,18,1,Minimal,2014-15
2015,21,15.534148809523835,2.427000000000021,25.668666667000025,29,6,1,Minimal,2014-15
2015,22,22.33011607142859,14.601666667000018,28.176666667000006,0,31,1,Minimal,2014-15
2015,23,17.666437500000022,11.04733333300004,25.29600000000005,0,2,1,Minimal,2014-15
2015,24,23.115109170148834,14.542333333000045,30.012333333000015,0,60,1,Minimal,2014-15
2015,25,21.325305497339308,14.582666667000012,24.82266666700002,0,0,1,Minimal,2014-15
2015,26,20.00512679822621,12.69300000000004,27.046333333000007,0,18,1,Minimal,2014-15
2015,27,19.429880546708358,11.420000000000016,27.090000000000032,0,14,1,Minimal,2014-15
2015,28,21.335274119875024,15.640000000000043,28.840000000000032,0,26,1,Minimal,2014-15
2015,29,22.57136904761907,10.939999999999998,30.79000000000002,0,59,1,Minimal,2014-15
2015,30,22.1234523809524,12.370000000000005,29.83000000000004,0,49,1,Minimal,2014-15
2015,31,24.392667490160733,15.710000000000036,32.25,0,78,1,Minimal,2014-15
2015,32,21.031941231410737,13.150000000000034,28.689999999999998,0,36,1,Minimal,2014-15
2015,33,21.91549177180955,10.890000000000043,30.700000000000045,0,44,1,Minimal,2014-15
2015,34,21.839630936238116,11.480000000000018,31.689999999999998,0,41,1,Minimal,2014-15
2015,35,18.992929562785736,10.82000000000005,28.370000000000005,0,20,1,Minimal,2014-15
